Title,Year,Scopus Source title,Citations,DOI,Journal title,OA model
Beyond initial twin nucleation in hcp metals: Micromechanical formulation for determining twin spacing during deformation,2017,Acta Materialia,2,10.1016/j.actamat.2017.05.013,Acta Materialia,Hybrid
Examining the Influence of Lecture Format on Degree of Mind Wandering,2017,Journal of Applied Research in Memory and Cognition,2,10.1016/j.jarmac.2017.01.015,Journal of Applied Research in Memory and Cognition,Hybrid
Complexity of suffix-free regular languages,2017,Journal of Computer and System Sciences,2,10.1016/j.jcss.2017.05.011,Journal of Computer and System Sciences,Hybrid
Occupant thorax response variations due to arm position and restraint systems in side impact crash scenarios,2017,Accident Analysis and Prevention,2,10.1016/j.aap.2017.05.017,Accident Analysis and Prevention,Hybrid
Chronic corticosterone-induced impaired cognitive flexibility is not due to suppressed adult hippocampal neurogenesis,2017,Behavioural Brain Research,2,10.1016/j.bbr.2017.05.060,Behavioural Brain Research,Hybrid
Probing the flat band potential and effective electronic carrier density in vertically aligned nitrogen doped diamond nanorods via electrochemical method,2017,Electrochimica Acta,2,10.1016/j.electacta.2017.06.030,Electrochimica Acta,Hybrid
Pattern recognition insight into drilling optimization of shaly formations,2017,Journal of Petroleum Science and Engineering,2,10.1016/j.petrol.2017.05.017,Journal of Petroleum Science and Engineering,Hybrid
A model for shear response in swimming plankton,2017,Progress in Oceanography,2,10.1016/j.pocean.2016.10.012,Progress in Oceanography,Hybrid
A cell-centred finite volume method for the Poisson problem on non-graded quadtrees with second order accurate gradients,2017,Journal of Computational Physics,2,10.1016/j.jcp.2016.11.035,Journal of Computational Physics,Hybrid
dParFit: A computer program for fitting diatomic molecule spectral data to parameterized level energy expressions,2017,Journal of Quantitative Spectroscopy and Radiative Transfer,2,10.1016/j.jqsrt.2016.04.004,Journal of Quantitative Spectroscopy and Radiative Transfer,Hybrid
Who can't take a compliment? The role of construal level and self-esteem in accepting positive feedback from close others,2017,Journal of Experimental Social Psychology,2,10.1016/j.jesp.2016.05.003,Journal of Experimental Social Psychology,Hybrid
"Transport behavior of the pharmaceutical compounds carbamazepine, sulfamethoxazole, gemfibrozil, ibuprofen, and naproxen, and the lifestyle drug caffeine, in saturated laboratory columns",2017,Science of the Total Environment,2,10.1016/j.scitotenv.2017.03.031,Science of the Total Environment,Hybrid
Simple DFS on the complement of a graph and on partially complemented digraphs,2017,Information Processing Letters,2,10.1016/j.ipl.2016.08.006,Information Processing Letters,Hybrid
Disfluency effects on lexical selection,2017,Cognition,2,10.1016/j.cognition.2016.10.008,Cognition,Hybrid
A maternal diet high in saturated fat impairs offspring hippocampal function in a sex-specific manner,2017,Behavioural Brain Research,2,10.1016/j.bbr.2017.02.049,Behavioural Brain Research,Hybrid
Compatibilism can be natural,2017,Consciousness and Cognition,2,10.1016/j.concog.2017.01.018,Consciousness and Cognition,Hybrid
The economic value of river restoration,2017,Water Resources and Economics,2,10.1016/j.wre.2017.02.005,Water Resources and Economics,Hybrid
A comparative study of transaction costs of payments for forest ecosystem services in Vietnam,2017,Forest Policy and Economics,2,10.1016/j.forpol.2017.03.017,Forest Policy and Economics,Hybrid
Polynomial optimization for water networks: Global solutions for the valve setting problem,2017,European Journal of Operational Research,2,10.1016/j.ejor.2017.03.011,European Journal of Operational Research,Hybrid
Effect of Cs+on the hydrogenolysis of glycerol to higher value sustainable and green chemicals using a supported Ni-HSiW catalyst,2017,Catalysis Today,2,10.1016/j.cattod.2017.02.043,Catalysis Today,Hybrid
An analysis on the energy consumption of circulating pumps of residential swimming pools for peak load management,2017,Applied Energy,2,10.1016/j.apenergy.2017.03.023,Applied Energy,Hybrid
A novel anti-idling system for service vehicles,2017,Energy,2,10.1016/j.energy.2017.04.018,Energy,Hybrid
Leisure travel distribution patterns of Germans: Insights for climate policy,2017,Case Studies on Transport Policy,2,10.1016/j.cstp.2017.10.001,Case Studies on Transport Policy,Hybrid
